OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_HOUR,PREMISES_TYPE,OFFENCE,MCI_CATEGORY,NEIGHBOURHOOD_140
2025-01-01 05:00:00,2025,January,1,Wednesday ,23,Commercial,Discharge Firearm With Intent,Assault,Milliken (130)
2025-01-01 05:00:00,2025,January,1,Wednesday ,17,Apartment,Assault,Assault,Dorset Park (126)
2025-01-01 05:00:00,2025,January,1,Wednesday ,15,Apartment,Assault,Assault,Niagara (82)
2025-01-01 05:00:00,2025,January,1,Wednesday ,23,Transit,Assault With Weapon,Assault,Newtonbrook West (36)
2025-01-01 05:00:00,2025,January,1,Wednesday ,4,Apartment,Assault,Assault,Mimico (includes Humber Bay Shores) (17)
2025-01-01 05:00:00,2025,January,1,Wednesday ,3,Apartment,Assault,Assault,Little Portugal (84)
2025-01-01 05:00:00,2025,January,1,Wednesday ,4,Outside,Assault,Assault,Kensington-Chinatown (78)
2025-01-01 05:00:00,2025,January,1,Wednesday ,1,Commercial,Assault,Assault,Mount Pleasant West (104)
2025-01-01 05:00:00,2025,January,1,Wednesday ,15,House,Assault,Assault,Kingsview Village-The Westway (6)
2025-01-01 05:00:00,2025,January,1,Wednesday ,2,Apartment,Assault,Assault,Waterfront Communities-The Island (77)
2025-01-01 05:00:00,2025,January,1,Wednesday ,3,Apartment,Assault,Assault,New Toronto (18)
2025-01-01 05:00:00,2025,January,1,Wednesday ,3,Apartment,Assault,Assault,New Toronto (18)
2025-01-01 05:00:00,2025,January,1,Wednesday ,7,Apartment,Assault,Assault,Willowdale East (51)
2025-01-01 05:00:00,2025,January,1,Wednesday ,7,Apartment,Assault,Assault,Waterfront Communities-The Island (77)
2025-01-01 05:00:00,2025,January,1,Wednesday ,5,Apartment,Assault,Assault,Black Creek (24)
2025-01-01 05:00:00,2025,January,1,Wednesday ,3,Transit,Assault,Assault,Danforth (66)
2025-01-01 05:00:00,2025,January,1,Wednesday ,11,House,Assault,Assault,Ionview (125)
2025-01-01 05:00:00,2025,January,1,Wednesday ,1,Commercial,Assault,Assault,Waterfront Communities-The Island (77)
2025-01-01 05:00:00,2025,January,1,Wednesday ,14,Apartment,Assault,Assault,Woodbine Corridor (64)
2025-01-01 05:00:00,2025,January,1,Wednesday ,8,Other,Assault,Assault,Annex (95)
2025-01-01 05:00:00,2025,January,1,Wednesday ,2,Commercial,Assault,Assault,Niagara (82)
